Gender,Event M/W,Location,Year,Medal,Name,Nationality,Result,Event,Time_Cleaned,MixMatch
M,10000M Men,Rio,2016,G,Mohamed FARAH,USA,00:25:05,10000M,1505,MRio2016G10000M
M,10000M Men,Rio,2016,S,Paul Kipngetich TANUI,KEN,00:27:06,10000M,1626,MRio2016S10000M
M,10000M Men,Rio,2016,B,Tamirat TOLA,ETH,00:27:06,10000M,1626,MRio2016B10000M
M,10000M Men,Beijing,2008,G,Kenenisa BEKELE,ETH,00:27:01,10000M,1621,MBeijing2008G10000M
M,10000M Men,Beijing,2008,S,Sileshi SIHINE,ETH,00:27:03,10000M,1623,MBeijing2008S10000M
M,10000M Men,Beijing,2008,B,Micah KOGO,KEN,00:27:04,10000M,1624,MBeijing2008B10000M
M,10000M Men,Sydney,2000,G,Haile GEBRSELASSIE,ETH,00:27:18,10000M,1638,MSydney2000G10000M
M,10000M Men,Sydney,2000,S,Paul TERGAT,KEN,00:27:18,10000M,1638,MSydney2000S10000M
M,10000M Men,Sydney,2000,B,Assefa MEZGEBU,ETH,00:27:20,10000M,1640,MSydney2000B10000M
M,10000M Men,Barcelona,1992,G,Khalid SKAH,MAR,00:27:47,10000M,1667,MBarcelona1992G10000M
M,10000M Men,Barcelona,1992,S,Richard CHELIMO,KEN,00:27:48,10000M,1668,MBarcelona1992S10000M
M,10000M Men,Barcelona,1992,B,Addis ABEBE,ETH,00:28:00,10000M,1680,MBarcelona1992B10000M
M,10000M Men,Los Angeles,1984,G,Alberto COVA,ITA,00:27:48,10000M,1668,MLos Angeles1984G10000M
M,10000M Men,Los Angeles,1984,S,Michael MCLEOD,GBR,00:28:06,10000M,1686,MLos Angeles1984S10000M
M,10000M Men,Los Angeles,1984,B,Michael MUSYOKI,KEN,00:28:06,10000M,1686,MLos Angeles1984B10000M
M,10000M Men,Montreal,1976,G,Lasse VIREN,FIN,00:27:40,10000M,1660,MMontreal1976G10000M
M,10000M Men,Montreal,1976,S,Carlos LOPES,POR,00:27:45,10000M,1665,MMontreal1976S10000M
M,10000M Men,Montreal,1976,B,Brendan FOSTER,GBR,00:27:55,10000M,1675,MMontreal1976B10000M
M,10000M Men,Mexico,1968,G,Naftali TEMU,KEN,00:29:27,10000M,1767,MMexico1968G10000M
M,10000M Men,Mexico,1968,S,Mamo WOLDE,ETH,00:29:28,10000M,1768,MMexico1968S10000M
M,10000M Men,Mexico,1968,B,Mohamed GAMMOUDI,TUN,00:29:34,10000M,1774,MMexico1968B10000M
M,10000M Men,Rome,1960,G,Pyotr BOLOTNIKOV,URS,00:28:32,10000M,1712,MRome1960G10000M
M,10000M Men,Rome,1960,S,Hans GRODOTZKI,EUA,00:28:37,10000M,1717,MRome1960S10000M
M,10000M Men,Rome,1960,B,David POWER,AUS,00:28:38,10000M,1718,MRome1960B10000M
M,10000M Men,Helsinki,1952,G,Emil ZÃTOPEK,TCH,00:29:17,10000M,1757,MHelsinki1952G10000M
M,10000M Men,Helsinki,1952,S,Alain MIMOUN,FRA,00:29:33,10000M,1773,MHelsinki1952S10000M
M,10000M Men,Helsinki,1952,B,Aleksandr ANUFRIYEV,URS,00:29:48,10000M,1788,MHelsinki1952B10000M
M,10000M Men,Berlin,1936,G,Ilmari SALMINEN,FIN,00:30:15,10000M,1815,MBerlin1936G10000M
M,10000M Men,Berlin,1936,S,Arvo ASKOLA,FIN,00:30:16,10000M,1816,MBerlin1936S10000M
M,10000M Men,Berlin,1936,B,Volmari ISO-HOLLO,FIN,00:30:20,10000M,1820,MBerlin1936B10000M
M,10000M Men,Amsterdam,1928,G,Paavo NURMI,FIN,00:30:19,10000M,1819,MAmsterdam1928G10000M
M,10000M Men,Amsterdam,1928,S,Ville RITOLA,FIN,00:30:19,10000M,1819,MAmsterdam1928S10000M
M,10000M Men,Amsterdam,1928,B,Edvin WIDE,SWE,00:31:01,10000M,1861,MAmsterdam1928B10000M
M,10000M Men,Antwerp,1920,G,Paavo NURMI,FIN,00:31:46,10000M,1906,MAntwerp1920G10000M
M,10000M Men,Antwerp,1920,S,Joseph GUILLEMOT,FRA,00:31:47,10000M,1907,MAntwerp1920S10000M
M,10000M Men,Antwerp,1920,B,James WILSON,GBR,00:31:51,10000M,1911,MAntwerp1920B10000M
M,10000M Men,London,2012,G,Mohamed FARAH,GBR,00:27:30,10000M,1650,MLondon2012G10000M
M,10000M Men,London,2012,S,Galen RUPP,USA,00:27:31,10000M,1651,MLondon2012S10000M
M,10000M Men,London,2012,B,Tariku BEKELE,ETH,00:27:31,10000M,1651,MLondon2012B10000M
M,10000M Men,Athens,2004,G,Kenenisa BEKELE,ETH,00:27:05,10000M,1625,MAthens2004G10000M
M,10000M Men,Athens,2004,S,Sileshi SIHINE,ETH,00:27:09,10000M,1629,MAthens2004S10000M
M,10000M Men,Athens,2004,B,Zersenay TADESE,ERI,00:27:23,10000M,1643,MAthens2004B10000M
M,10000M Men,Atlanta,1996,G,Haile GEBRSELASSIE,ETH,00:27:07,10000M,1627,MAtlanta1996G10000M
M,10000M Men,Atlanta,1996,S,Paul TERGAT,KEN,00:27:08,10000M,1628,MAtlanta1996S10000M
M,10000M Men,Atlanta,1996,B,Salah HISSOU,MAR,00:27:25,10000M,1645,MAtlanta1996B10000M
M,10000M Men,Moscow,1980,G,Miruts YIFTER,ETH,00:27:43,10000M,1663,MMoscow1980G10000M
M,10000M Men,Moscow,1980,S,Kaarlo MAANINKA,FIN,00:27:44,10000M,1664,MMoscow1980S10000M
M,10000M Men,Moscow,1980,B,Mohammed KEDIR,ETH,00:27:45,10000M,1665,MMoscow1980B10000M
M,10000M Men,Munich,1972,G,Lasse VIREN,FIN,00:27:38,10000M,1658,MMunich1972G10000M
M,10000M Men,Munich,1972,S,Emiel PUTTEMANS,BEL,00:27:40,10000M,1660,MMunich1972S10000M
M,10000M Men,Munich,1972,B,Miruts YIFTER,ETH,00:27:41,10000M,1661,MMunich1972B10000M
M,10000M Men,Tokyo,1964,G,Billy MILLS,USA,00:28:24,10000M,1704,MTokyo1964G10000M
M,10000M Men,Tokyo,1964,S,Mohamed GAMMOUDI,TUN,00:28:25,10000M,1705,MTokyo1964S10000M
M,10000M Men,Tokyo,1964,B,Ron CLARKE,AUS,00:28:26,10000M,1706,MTokyo1964B10000M
M,10000M Men,Melbourne / Stockholm,1956,G,Vladimir KUTS,URS,00:28:46,10000M,1726,MMelbourne / Stockholm1956G10000M
M,10000M Men,Melbourne / Stockholm,1956,S,JÃ³zsef KOVÃCS,HUN,00:28:52,10000M,1732,MMelbourne / Stockholm1956S10000M
M,10000M Men,Melbourne / Stockholm,1956,B,Allan LAWRENCE,AUS,00:28:54,10000M,1734,MMelbourne / Stockholm1956B10000M
M,10000M Men,London,1948,G,Emil ZÃTOPEK,TCH,00:30:00,10000M,1800,MLondon1948G10000M
M,10000M Men,London,1948,S,Alain MIMOUN,FRA,00:30:47,10000M,1847,MLondon1948S10000M
M,10000M Men,London,1948,B,Bertil ALBERTSSON,SWE,00:30:54,10000M,1854,MLondon1948B10000M
M,10000M Men,Los Angeles,1932,G,Janusz KUSOCINSKI,POL,00:30:11,10000M,1811,MLos Angeles1932G10000M
M,10000M Men,Los Angeles,1932,S,Volmari ISO-HOLLO,FIN,00:30:13,10000M,1813,MLos Angeles1932S10000M
M,10000M Men,Los Angeles,1932,B,Lauri VIRTANEN,FIN,00:30:35,10000M,1835,MLos Angeles1932B10000M
M,10000M Men,Paris,1924,G,Ville RITOLA,FIN,00:30:23,10000M,1823,MParis1924G10000M
M,10000M Men,Paris,1924,S,Edvin WIDE,SWE,00:30:55,10000M,1855,MParis1924S10000M
M,10000M Men,Paris,1924,B,Eero BERG,FIN,00:31:43,10000M,1903,MParis1924B10000M
M,10000M Men,Stockholm,1912,G,Hannes KOLEHMAINEN,FIN,00:31:21,10000M,1881,MStockholm1912G10000M
M,10000M Men,Stockholm,1912,S,Lewis TEWANIMA,USA,00:32:07,10000M,1927,MStockholm1912S10000M
M,10000M Men,Stockholm,1912,B,Albin STENROOS,FIN,00:32:22,10000M,1942,MStockholm1912B10000M
M,100M Men,Rio,2016,G,Usain BOLT,JAM,9.81,100M,9.81,MRio2016G100M
M,100M Men,Rio,2016,S,Justin GATLIN,USA,9.89,100M,9.89,MRio2016S100M
M,100M Men,Rio,2016,B,Andre DE GRASSE,CAN,9.91,100M,9.91,MRio2016B100M
M,100M Men,Beijing,2008,G,Usain BOLT,JAM,9.69,100M,9.69,MBeijing2008G100M
M,100M Men,Beijing,2008,S,Richard THOMPSON,TTO,9.89,100M,9.89,MBeijing2008S100M
M,100M Men,Beijing,2008,B,Walter DIX,USA,9.91,100M,9.91,MBeijing2008B100M
M,100M Men,Sydney,2000,G,Maurice GREENE,USA,9.87,100M,9.87,MSydney2000G100M
M,100M Men,Sydney,2000,S,Ato BOLDON,TTO,9.99,100M,9.99,MSydney2000S100M
